User ID,Postive_sen,neutral_sen,Neg_sen,Unknown_Sen,Anger,Sad,Love,Happiness,Neutral,unkown_emotion,unknow_emo_intensity,noemotion,Some_emotion,Extreme_Emotion,total_tweets
azulitaa_02,,,,,,,,,,,,,,,
jasonhibono,,,,,,,,,,,,,,,
MonicaPortillo_,,,,,,,,,,,,,,,
temesgentoofly,,,,,,,,,,,,,,,
dlcgx,,,,,,,,,,,,,,,
allisonjae_,,,,,,,,,,,,,,,
brenna_annalise,,,,,,,,,,,,,,,
TierraSmiles_,,,,,,,,,,,,,,,
kelsey_lachance,,,,,,,,,,,,,,,
Katelynnxxoxo,,,,,,,,,,,,,,,
juarezalexis38,,,,,,,,,,,,,,,
KarminLaBrea,,,,,,,,,,,,,,,
Jaavieerrr_,,,,,,,,,,,,,,,
nessa_stef97,,,,,,,,,,,,,,,
Sirenitaaa3,,,,,,,,,,,,,,,
tracy_keyes_,,,,,,,,,,,,,,,
perezkevin28,,,,,,,,,,,,,,,
NatanHek,,,,,,,,,,,,,,,
isabelng523,,,,,,,,,,,,,,,
khanhsuela,,,,,,,,,,,,,,,
IndooDude,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
